matcher,P,R,Res,Cal,P_bin,R_bin,Res_bin,Cal_bin,"('P_bin', 'R_bin')","('P_bin', 'Res_bin')","('P_bin', 'Cal_bin')","('R_bin', 'Res_bin')","('R_bin', 'Cal_bin')","('Res_bin', 'Cal_bin')","('P_bin', 'R_bin', 'Res_bin')","('P_bin', 'R_bin', 'Cal_bin')","('P_bin', 'Res_bin', 'Cal_bin')","('R_bin', 'Res_bin', 'Cal_bin')","('P_bin', 'R_bin', 'Res_bin', 'Cal_bin')"
104_0053,0.18181818181818182,0.09230769230769231,1.0,0.7787878787878788,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
104_0054,0.1875,0.09230769230769231,1.0,0.771875,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
104_0055,0.1935483870967742,0.09230769230769231,1.0,0.764516129032258,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
104_0056,0.16666666666666666,0.07692307692307693,1.0,0.79,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
104_0057,0.1724137931034483,0.07692307692307693,1.0,0.7896551724137931,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
104_0058,0.17857142857142858,0.07692307692307693,1.0,0.7857142857142857,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
104_0059,0.18518518518518517,0.07692307692307693,1.0,0.7962962962962963,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
104_0060,0.19230769230769232,0.07692307692307693,1.0,0.7884615384615384,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
104_0061,0.2,0.07692307692307693,1.0,0.792,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
104_0062,0.20833333333333334,0.07692307692307693,0.0,0.7916666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
104_0063,0.20833333333333334,0.07692307692307693,0.0,0.7916666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
104_0064,0.21739130434782608,0.07692307692307693,0.0,0.782608695652174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
104_0065,0.22727272727272727,0.07692307692307693,0.0,0.7727272727272727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
104_0066,0.23809523809523808,0.07692307692307693,0.0,0.7619047619047619,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
104_0067,0.23809523809523808,0.07692307692307693,0.0,0.7619047619047619,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
104_0068,0.25,0.07692307692307693,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
104_0069,0.2631578947368421,0.07692307692307693,0.0,0.736842105263158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
104_0070,0.2777777777777778,0.07692307692307693,0.0,0.7222222222222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
104_0071,0.29411764705882354,0.07692307692307693,0.0,0.7058823529411764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
104_0072,0.3125,0.07692307692307693,0.0,0.6875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
104_0073,0.3333333333333333,0.07692307692307693,0.0,0.6666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
104_0074,0.35714285714285715,0.07692307692307693,0.0,0.6428571428571428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
104_0075,0.3076923076923077,0.06153846153846154,0.0,0.6923076923076923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
104_0076,0.3333333333333333,0.06153846153846154,0.0,0.6666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
104_0077,0.3333333333333333,0.06153846153846154,0.0,0.6666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
104_0078,0.36363636363636365,0.06153846153846154,0.0,0.6363636363636364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
104_0079,0.3,0.046153846153846156,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
